Player	Active
Hicks, Jessie	NO
Hiedeman, Natisha	YES
Hightower, Allison	NO
Hill, E.C.	NO
Hill, Tayler	YES
Hines-Allen, Myisha	YES
Hlede, Korie	NO
Hodges, Roneeka	NO
Hoffman, Ebony	NO
Holdsclaw, Chamique	NO
Holland-Corn, Kedra	NO
Hollingsworth, Quanitra	NO
Hollivay, Rachel	NO
Holmes, Bria	YES
Holmes, Joy	NO
Holmes, Sequoia	NO
Holt, Amber	NO
Hooper, Jordan	NO
Hoover, Andrea	NO
Hope, Kym	NO
Hopkins, Chelsea	NO
Hopson-Shelton, Susie	NO
Hornbuckle, Alexis	NO
Houston, Charde	NO
Houts, Ashley	NO
Howard, Anriel	YES
Howard, Jennifer	NO
Howard, Natasha	YES
Hrynko, Brittany	NO
Huff, Megan	YES
Humphrey, Tasha	NO
Han Xu	YES
Ibekwe, Ify	NO
Irvin, Sandora	NO
Ivanyi, Dalma	NO
Ivey, Niele	NO
Jackson, Angela	NO
Jackson, Chloe	YES
Jackson, Deanna	NO
Jackson, Gwen	NO
Jackson, Lauren	NO
Jackson, Tamicha	NO
Jackson, Tammy	NO
Jackson, Tia	NO
Jackson, Tiffany	NO
Jacobs, Amber	NO
James, Jasmine	NO
James, Tamara	NO
January, Briann	YES
January, Jessica	YES
Jarry, Rachel	NO
Jefferson, Moriah	YES
Jeffery, Chucky	NO
Jekabsone-Zogota, Anete	NO
Joens, Cathy	NO
Johannes, Marine	YES
Johns Kimbrough, Pollyanna	NO
Johnson, Adrienne	NO
Johnson, Chandra	NO
Johnson, Glory	YES
Johnson, Jaclyn	NO
Johnson, LaTonya	NO
Johnson, Leslie	NO
Johnson, Niesa	NO
Johnson, Shannon	NO
Johnson, Shenise	YES
Johnson, Temeka	NO
Johnson, Tiffani	NO
Johnson, Vickie	NO
Jolly Harper, Kellie	NO
Jones, Alexis	YES
Jones, Asjha	NO
Jones, Brionna	YES
Jones, Chandi	NO
Jones, Jameka	NO
Jones, Jonquel	YES
Jones, Larecha	NO
Jones, Marion	NO
Jones, Merlakia	NO
Jordan, Pauline	NO
Kang, Lee Seul	YES
Kausaite, Aneta	NO
Kea, Paris	YES
Kelley, Shae	NO
Kelly, Crystal	NO
Kiesel, Brianna	NO
King-Borchardt, Susan	NO
Kingi-Cross, Jae	NO
Kizer, Lynetta	NO
Klimesova, Zuzana	NO
Knight, Whitney	NO
Kobryn, Ewelina	NO
Koehn, Laurie	NO
Korstine, Ilona	NO
Koss, Greta	NO
Kostaki, Anastasia	NO
Kostic, Tanja	NO
Kraayeveld, Cathrine	NO
Kubik, Nicole	NO
Kuklova, Andrea	NO
Lacey, Alison	NO
Lacy, Jennifer	NO
Lacy, Natasha	NO
Lacy, Venus	NO
Lamb, Monica	NO
Lambert, Sheila	NO
Laney, Betnijah	YES
Lang-Harris, Merlelynn	NO
Langhorne, Crystal	YES
Lara, Krystyna	NO
Larkins, Erlana	NO
Lassiter, Amanda	NO
Latta, Ivory	NO
Lavender, Jantel	YES
Lawson, Kara	NO
Lawson-Wade, Edwige	NO
Lazic, Katarina	NO
Lehning, Shalee	NO
Lennox, Betty	NO
Leslie, Kiara	YES
Leslie, Lisa	NO
Leuchanka, Yelena	NO
Levandusky, Nicole	NO
Levesque, Nicole	NO
Lewis, Breanna	NO
Lewis, Doneeka	NO
Lewis, TaKeisha	NO
Lewis, Tynesha	NO
Li jie, Miao	NO
Lieberman, Nancy	NO
Lilley, Taylor	NO
Lister, Jasmine	NO
Liston, Tricia	NO
Little, Camille	YES
Lloyd-Curry, Andrea	NO
Lobo, Rebecca	NO
Logic, Samantha	NO
Louis, Raigyne	NO
Lovelace, Stacey	NO
Loyd, Jewell	YES
Lucas, Maggie	NO
Luckey, Pat	NO
Luz, Helen	NO
Lyttle, Sancho	YES
Mabika, Mwadi	NO
Mabrey, Marina	YES
Macaulay, Victoria	YES
Macchi, Laura	NO
Machanguana, Clarisse	NO
Madgen, Tess	NO
Mahoney, Megan	NO
Mahoney, Shea	NO
Maiga-Ba, Hamchetou	NO
Malcolm, Nadine	NO
Mallory, Sonja	NO
Malott, Ally	NO
Maltsi, Evanthia	NO
Mann, Kristen	NO
Manning, Sharon	NO
Mapp, Rhonda	NO
Marciniak, Michelle	NO
Marginean, Gabriela	NO
Martin, Maylana	NO
Martinez, Nuria	NO
Masciadri, Raffaella	NO
Massaline, Tonya	NO
Mathies, A'dia	NO
Matter, Caity	NO
Mattera, Katie	NO
Mavunga, Stephanie	YES
Maxwell, Anita	NO
Maxwell, Monica	NO
Mazzante, Kelly	NO
McBride, Kayla	YES
McCain, Brandi	NO
McCain, Tiffany	NO
McCall, Erica	YES
McCants, Rashanda	NO
McCarty-Williams, Brooke	YES
McCarville, Janel	NO
McConnell Serio, Suzie	NO
McCoughtry, Angel	YES
McCowan, Teaira	YES
McCray, Danielle	NO
McCray, Nikki	NO
McCray, Nikki (, Penny	NO
McCrimmon, Nicky	NO
McCulley, Danielle	NO
McGee, Pam	NO
McGee-Stafford, Imani	YES
McGhee, Carla	NO
McKenith, Nadirah	NO
McKinney, Shanece	NO
McWilliams-Franklin, Taj	NO
Meesseman, Emma	YES
Melvin, Chasity	NO
Mendiola, Giuliana	NO
Mestdagh, Kim	YES
Miller, Britany	NO
Miller, Coco	NO
Miller, Kelly	NO
Miller, Teana	NO
Mills, Tausha	NO
Milovanovic, Jelena	NO
Milton-Jones, DeLisha	NO
Min Jung, Sun	NO
Mitchell, Kelsey	YES
Mitchell, Leilani	YES
Mitchell, Tiffany	YES
Miyem, Endy	NO
Moeggenberg, Liz	NO
Moises Pinto, Adriana	NO
Mokango, Chanel	NO
Monroe, Jacinta	NO
Montanana, Anna	NO
Montgomery, Alex	NO
Montgomery, Lanay	NO
Montgomery, Renee	YES
Moore, Jackie	NO
Moore, Jessica	NO
Moore, Lindsey	NO
Moore, Loree	NO
Moore, Maya	YES
Moore, Navonda	NO
Moore, Penny	NO
Moore, Tamara	NO
Moore, Yolanda	NO
Moos, Carolyn	NO
Morello, Aneika	NO
Morris, Darxia	NO
Morris, Jene	NO
Morrison, Ziomara	NO
Mosby, Bernice	NO
Moseley, Brene	NO
Mosley-McAfee, Judy	NO
Mosqueda-Lewis, Kaleena	YES
Mowe, Jenny	NO
Muldrow, Teana	NO
Mulitauaopele, Naomi	NO
Murphy, Shay	NO
Musina, Raisa	YES
N'Garsanet, Christelle	NO
Nagy, Andrea	NO
Nan, Chen	NO
Nared, Jaime	YES
Ndiaye-Diatta, Astou	NO
Ndongue, Emmeline	NO
Ndour, Astou	YES
Nemcova, Eva	NO
Neves, Claudia	NO
Newton, Chelsea	NO
Ngoyisa, Bernadette	NO
Nicholson, Tina	NO
Nieuwveen, Marlous	NO
